Year,World*,Russia,United States,China,France,United Kingdom,India,Pakistan,Israel,North Korea,South Africa
2025,12331,4299,3700,600,290,225,180,170,90,50,
2024,12121,4380,3708,500,290,225,172,170,90,50,
2023,12512,4489,3748,410,290,225,164,170,90,30,
2022,12705,4477,3768,390,290,225,160,165,90,25,
2021,13100,4495,3713,370,290,225,160,165,90,20,
2020,13160,4310,3750,350,290,225,150,160,90,35,
2019,13875,4330,3805,290,300,225,140,150,80,25,
2018,14480,4350,3785,280,300,225,140,150,80,20,
2017,14550,4300,3822,270,300,225,130,140,80,15,
2016,15233,4490,4018,260,300,225,120,130,80,10,
2015,15795,4500,4571,260,300,225,110,125,80,5,
2014,16370,4600,4717,250,300,225,100,120,80,,
2013,17680,4650,4804,250,300,225,110,115,80,,
2012,18855,4750,4881,240,300,225,100,110,80,,
2011,20035,4858,4897,240,300,225,90,100,80,,
2010,21234,5215,5066,240,300,225,80,90,80,,
2009,22524,5527,5113,240,300,245,70,80,80,,
2008,23855,5929,5273,235,300,245,60,70,80,,
2007,25533,6286,5709,235,350,245,50,60,80,,
2006,27061,6643,7853,235,350,245,43,50,80,,
2005,28358,7000,8360,235,350,280,38,44,80,,
2004,29627,8038,8570,235,350,280,33,38,80,,
2003,30820,9076,10027,235,350,280,28,32,78,,
2002,31902,10114,10457,235,350,280,23,26,76,,
2001,33190,11152,10526,235,350,280,18,20,74,,
2000,34004,12188,10577,232,470,280,13,14,72,,
1999,34677,13188,10685,232,450,240,8,8,70,,
1998,35387,14368,10732,232,450,240,3,2,68,,
1997,36776,15442,10903,232,450,203,,,66,,
1996,39484,15942,11011,234,450,203,,,64,,
1995,42366,18179,10904,234,500,234,,,63,,
1994,45580,21339,10979,234,510,250,,,62,,
1993,48830,24403,11511,234,525,250,,,60,,
1992,52463,26734,13708,234,540,250,,,58,,
1991,58326,29154,19008,234,540,350,,,56,,
1990,61229,32980,21392,232,505,350,,,53,,
1989,63657,35078,22217,230,410,350,,,51,,6
1988,65623,36538,23205,228,410,350,,,49,,5
1987,68387,38107,23575,226,420,350,,,47,,4
1986,70374,40159,23317,224,355,350,,,44,,3
1985,64408,38582,23368,222,360,350,,,42,,3
1984,62678,36825,23459,220,280,350,,,40,,3
1983,60818,35130,23305,218,279,380,,,38,,3
1982,58570,33486,22886,216,274,385,,,35,,3
1981,56530,32146,23208,210,274,500,,,33,,
1980,55352,30665,24104,205,250,500,,,31,,
1979,53499,28258,24138,195,235,500,,,29,,
1978,51170,26169,24418,190,235,500,,,26,,
1977,49698,24281,25542,180,228,500,,,24,,
1976,47698,22165,25914,180,212,500,,,22,,
1975,47769,19235,27519,180,188,500,,,20,,
1974,47182,17286,28537,170,145,500,,,17,,
1973,45695,15878,27835,150,116,500,,,15,,
1972,43026,14600,26516,130,70,423,,,13,,
1971,40616,13279,25830,100,45,412,,,11,,
1970,38799,11736,26008,75,36,375,,,8,,
1969,38278,10671,27552,50,36,306,,,6,,
1968,39015,9490,29561,35,36,317,,,4,,
1967,39990,8400,31255,25,36,355,,,2,,
1966,39466,7091,31175,20,36,281,,,,,
1965,38419,6144,31139,5,32,271,,,,,
1964,36553,5242,29463,1,4,271,,,,,
1963,33953,4259,28133,,,256,,,,,
1962,30920,3346,25540,,,211,,,,,
1961,26752,2492,22229,,,155,,,,,
1960,22144,1627,18638,,,105,,,,,
1959,16606,1048,12298,,,78,,,,,
1958,10751,863,7345,,,60,,,,,
1957,7162,660,5543,,,58,,,,,
1956,5094,426,3692,,,50,,,,,
1955,3267,200,2422,,,10,,,,,
1954,2218,150,1703,,,5,,,,,
1953,1557,120,1169,,,1,,,,,
1952,1055,50,841,,,,,,,,
1951,665,25,438,,,,,,,,
1950,374,5,299,,,,,,,,
1949,236,1,170,,,,,,,,
1948,110,,50,,,,,,,,
1947,32,,13,,,,,,,,
1946,11,,9,,,,,,,,
1945,6,,2,,,,,,,,